id,pregunta
[0],¿Como crear base de datos y despues consultarlos en excel a traves de python?
[1],Python-Flask render_template para user in session
[2],¿Como pudo hacer una sumar un valor con funciones en Tkinter? basicamente no esta sumando como deberia
[3],Eliminación valores atipicos
[4],¿Cuál es la condición para realizar el producto punto de 2 vectores en 3D o en general de cualquier dimensión en Python con Numpy?
[5],¿Por que no puedo pintar todo el botón de rojo?
[6],Python modulo 'Socket' me devuelve 400 Bad Request
[7],Excepciones Python
[8],No dibuja mis balas y ni las veo moverse ¿Qué hago? - Python / PyGame
[9],No me reconoce el rect.center de una grupo de sprites (del sprite.Group) en PyGame (Python)
[10],Error al conectarme a postgres con python dentro de un contenedor
[11],Uso de telnetlib
[12],Como multiplicar todos los elementos de un array por un escalar con numpy
[13],No sé por qué me aparece un none cuando se termina de ejecutar un metodo
